,name,Hosting team,visiting team,distance (in km),time plane (in seconds),fuel consumption (in kg),Emission plane (in kg),distance autocar (in km),time autocar (in sec),Emission autocar (in kg),Total time (in seconds),Total emission (aller-retour)
23,Auxerre;-Marseille,Auxerre,Marseille,507.7338852441397,3227.2432346792457,2797.6117378933805,16301.544708178733,39.897,2677,59.845499999999994,5904.243234679246,34996.90941635746
24,Auxerre;-Monaco,Auxerre,Monaco,547.1833729878138,3398.165126673929,2914.9151190749712,16985.06568675175,44.346999999999994,3205,66.5205,6603.165126673929,36630.9513735035
25,Auxerre;-Montpellier,Auxerre,Montpellier,475.62612804932985,3088.1306904783946,2702.1390537971793,15745.230117728815,32.153,2792,48.229499999999994,5880.130690478394,33419.64023545763
26,Auxerre;-Nantes,Auxerre,Nantes,390.29649440880644,2718.424941196766,2448.4106757240093,14266.767455140754,33.815,2327,50.7225,5045.424941196767,30562.43491028151
27,Auxerre;-Nice,Auxerre,Nice,547.1833729878138,3398.165126673929,2914.9151190749712,16985.06568675175,17.654,1749,26.481,5147.165126673929,35029.3713735035
28,Auxerre;-Paris Saint-Germain,Auxerre,Paris Saint-Germain,128.98968546092593,1586.2669150478234,1671.4126975874335,9739.238810906634,31.677,2770,47.5155,4356.266915047823,21379.097621813267
29,Auxerre;-Reims,Auxerre,Reims,192.98487361318675,1863.5374010072806,1861.702923873478,10848.050512442906,56.885999999999996,3206,85.329,5069.537401007281,25109.26102488581
30,Auxerre;-Rennes,Auxerre,Rennes,390.9302358068088,2721.170738036658,2450.295111062269,14277.747966303265,19.146,1775,28.719,4496.170738036658,29704.255932606527
31,Auxerre;-Strasbourg,Auxerre,Strasbourg,354.43538023782025,2563.0503131922446,2341.7773533212285,13645.420379352636,64.84,4450,97.26,7013.050313192245,31181.240758705273
32,Auxerre;-Saint-Étienne,Auxerre,Saint-Étienne,264.2267174617288,2172.2053061243805,2073.541141376948,12082.421289044685,24.607,1821,36.9105,3993.2053061243805,25641.262578089372
33,Auxerre;-Toulouse,Auxerre,Toulouse,496.89619699124665,3180.2870310126955,2765.385781386246,16113.765659481842,26.475,2188,39.7125,5368.2870310126955,33816.03131896368
34,Brest;-Angers,Brest,Angers,320.814662301714,2417.3825986404795,2241.8058678286134,13062.891496510561,36.738,2081,55.10699999999999,4498.382598640479,28330.06299302112
35,Brest;-Auxerre,Brest,Auxerre,591.1221557677237,3588.537684449154,3045.5674565292998,17746.370370811863,20.995,1861,31.4925,5449.537684449154,36752.44074162372
36,Brest;-Le Havre,Brest,Le Havre,349.5764957524873,2541.9983356706884,2327.3294197357864,13561.232987623562,42.391,2564,63.5865,5105.998335670689,29665.925975247123
37,Brest;-Lens,Brest,Lens,591.4956335467255,3590.155843068087,3046.677995823441,17752.84142814567,46.781,2768,70.1715,6358.155843068087,38312.542856291344
38,Brest;-Lille,Brest,Lille,591.4956335467255,3590.155843068087,3046.677995823441,17752.84142814567,18.068,1464,27.102000000000004,5054.155843068087,36589.762856291345
39,Brest;-Lyon,Brest,Lyon,780.3542342773684,4408.419176830291,3608.2506219339275,21025.0972409994,34.187,1901,51.28049999999999,6309.419176830291,44101.4144819988
40,Brest;-Marseille,Brest,Marseille,928.990327015027,5052.4113714689065,4050.2212846973175,23600.43835111572,39.385999999999996,2455,59.079,7507.4113714689065,49564.036702231446
41,Brest;-Monaco,Brest,Monaco,1042.0886873891445,5542.430047053369,4386.520203562378,25560.035455651418,43.836,2983,65.754,8525.430047053369,53750.23091130283
42,Brest;-Montpellier,Brest,Montpellier,843.0919831573402,4680.2415844551315,3794.8018420450776,22112.121939178982,31.642,2570,47.463,7250.2415844551315,46122.76387835796
43,Brest;-Nantes,Brest,Nantes,254.83813256761937,2131.5275993901228,2045.6241058061619,11919.750108725835,33.304,2105,49.95600000000001,4236.527599390123,25837.740217451672
44,Brest;-Nice,Brest,Nice,1042.0886873891445,5542.430047053369,4386.520203562378,25560.035455651418,17.143,1527,25.7145,7069.430047053369,52148.65091130284
45,Brest;-Paris Saint-Germain,Brest,Paris Saint-Germain,500.44558178233046,3195.6653692018017,2775.9399066974274,16175.26402370643,31.166,2548,46.749,5743.665369201802,34220.48804741286
46,Brest;-Reims,Brest,Reims,651.329387605287,3849.3961788433935,3224.5941630867915,18789.55010207169,56.375,2984,84.5625,6833.3961788433935,40961.60020414338
47,Brest;-Rennes,Brest,Rennes,203.0790277450136,1907.2721114174167,1891.7179754636295,11022.946727949773,18.634999999999998,1553,27.952499999999997,3460.2721114174165,23163.993455899545
48,Brest;-Strasbourg,Brest,Strasbourg,918.8896671106271,5008.648473646951,4020.1868881381015,23425.4294134345,64.32900000000001,4228,96.49350000000001,9236.64847364695,50710.598826869
49,Brest;-Saint-Étienne,Brest,Saint-Étienne,735.5789005249867,4214.422113817029,3475.1107931783354,20249.298068619297,24.096,1599,36.144,5813.422113817029,41944.356137238596
50,Brest;-Toulouse,Brest,Toulouse,696.8025438598921,4046.416681429091,3359.808972879077,19577.44008593936,25.964,1966,38.946,6012.416681429091,40712.72017187872
51,Le Havre;-Angers,Le Havre,Angers,203.3339778698666,1908.3767279839813,1892.476071788536,11027.364117599018,57.953,2919,86.9295,4827.376727983981,25531.908235198036
52,Le Havre;-Auxerre,Le Havre,Auxerre,298.3182167315274,2319.9127641778437,2174.9124990959945,12673.107157852974,42.21,2699,63.315,5018.912764177843,27878.814315705946
53,Le Havre;-Brest,Le Havre,Brest,349.5764957524873,2541.9983356706884,2327.3294197357864,13561.232987623562,41.35,2414,62.025,4955.998335670689,29603.465975247123
54,Le Havre;-Lens,Le Havre,Lens,249.34010949521203,2107.7064407512,2029.2756882956915,11824.488691515888,67.996,3606,101.994,5713.7064407512,27728.737383031774
55,Le Havre;-Lille,Le Havre,Lille,249.34010949521203,2107.7064407512,2029.2756882956915,11824.488691515888,39.283,2302,58.9245,4409.7064407512,26005.957383031775
56,Le Havre;-Lyon,Le Havre,Lyon,548.4206550114073,3403.525870158806,2918.594187502571,17006.503435830586,55.402,2739,83.103,6142.525870158806,37337.126871661174
57,Le Havre;-Marseille,Le Havre,Marseille,764.2606415355489,4338.690836165975,3560.3961895458247,20746.251839225886,60.601,3293,90.9015,7631.690836165975,45128.56367845177
58,Le Havre;-Monaco,Le Havre,Monaco,832.4016578626226,4633.923856902262,3763.014070524456,21926.896172644636,65.051,3821,97.5765,8454.923856902262,47756.85234528927
59,Le Havre;-Montpellier,Le Havre,Montpellier,706.0970659179428,4086.686844267976,3387.4463118214835,19738.481487890294,52.857,3408,79.2855,7494.686844267976,42648.38297578059
60,Le Havre;-Nantes,Le Havre,Nantes,277.40391556380945,2229.2978505302976,2112.7236499539213,12310.735821291786,54.519,2943,81.7785,5172.297850530298,27892.61164258357
61,Le Havre;-Nice,Le Havre,Nice,832.4016578626226,4633.923856902262,3763.014070524456,21926.896172644636,38.358,2365,57.537,6998.923856902262,46155.272345289275
62,Le Havre;-Paris Saint-Germain,Le Havre,Paris Saint-Germain,176.32585413595353,1791.359248876989,1812.167190366703,10559.40825251974,52.381,3386,78.5715,5177.359248876989,24261.67650503948
63,Le Havre;-Reims,Le Havre,Reims,304.84133135952123,2348.1753135209256,2194.309034905803,12786.129809068141,77.59,3822,116.38500000000002,6170.175313520926,30227.659618136284
64,Le Havre;-Rennes,Le Havre,Rennes,201.4120910732782,1900.0498130793594,1886.7613253524628,10994.064573826834,39.85,2391,59.775,4291.049813079359,24379.129147653668
65,Le Havre;-Strasbourg,Le Havre,Strasbourg,580.8865277387887,3544.19001332534,3015.1317311248886,17569.02290987382,85.544,5066,128.31599999999997,8610.19001332534,40270.68581974764
66,Le Havre;-Saint-Étienne,Le Havre,Saint-Étienne,527.5367842805271,3313.042801767967,2856.4958235185077,16644.659351792954,45.311,2437,67.9665,5750.042801767967,36007.978703585904
67,Le Havre;-Toulouse,Le Havre,Toulouse,644.1765095281879,3818.405067828496,3203.325020402982,18665.615863568015,47.179,2804,70.7685,6622.405067828497,40161.97172713603
68,Lens;-Angers,Lens,Angers,416.3574933494165,2831.338834404791,2525.9032736651225,14718.312976193369,63.352,3174,95.028,6005.338834404791,33237.74595238674
69,Lens;-Auxerre,Lens,Auxerre,304.11078746560895,2345.010102724173,2192.1367565377213,12773.472050860937,47.608999999999995,2954,71.41349999999998,5299.010102724173,28403.484101721875
70,Lens;-Brest,Lens,Brest,591.4956335467255,3590.155843068087,3046.677995823441,17752.84142814567,46.748999999999995,2669,70.12349999999998,6259.155843068087,38310.622856291346
