,name,Hosting team,visiting team,distance (in km),time plane (in seconds),fuel consumption (in kg),Emission plane (in kg),distance autocar (in km),time autocar (in sec),Emission autocar (in kg),Total time (in seconds),Total emission (aller-retour)
152,Monaco;-Toulouse,Monaco,Toulouse,470.59955550647044,3066.3521747507266,2687.192498372603,15658.137281297382,47.791,3285,71.6865,6351.352174750727,34183.734562594764
153,Montpellier;-Angers,Montpellier,Angers,554.0250636583037,3427.8079631396577,2935.25894340703,17103.60814115756,46.909,2905,70.3635,6332.807963139658,37021.756282315124
154,Montpellier;-Auxerre,Montpellier,Auxerre,475.62612804932985,3088.1306904783946,2702.1390537971793,15745.230117728815,31.166,2685,46.749,5773.130690478394,33360.420235457634
155,Montpellier;-Brest,Montpellier,Brest,843.0919831573402,4680.2415844551315,3794.8018420450776,22112.121939178982,30.305999999999997,2400,45.459,7080.2415844551315,46042.603878357964
156,Montpellier;-Le Havre,Montpellier,Le Havre,706.0970659179428,4086.686844267976,3387.4463118214835,19738.481487890294,52.562,3388,78.843,7474.686844267976,42630.68297578059
157,Montpellier;-Lens,Montpellier,Lens,779.7179042671039,4405.662164369342,3606.3584893354932,21014.071878283983,56.952,3592,85.428,7997.662164369342,45445.26375656797
158,Montpellier;-Lille,Montpellier,Lille,779.7179042671039,4405.662164369342,3606.3584893354932,21014.071878283983,28.239,2288,42.3585,6693.662164369342,43722.48375656796
159,Montpellier;-Lyon,Montpellier,Lyon,254.40279832725557,2129.6414366978074,2044.3296358077023,11912.20729630928,44.358000000000004,2725,66.53700000000002,4854.641436697808,26485.89459261856
160,Montpellier;-Marseille,Montpellier,Marseille,101.9821876085917,1469.2521476836127,1591.1056772297009,9271.293790155478,49.557,3279,74.3355,4748.252147683613,21516.007580310958
161,Montpellier;-Monaco,Montpellier,Monaco,261.6700229059889,2161.1279741813405,2065.938788768835,12038.122757818972,54.007,3807,81.0105,5968.1279741813405,27316.665515637942
162,Montpellier;-Nantes,Montpellier,Nantes,589.0044514029878,3579.3623552520307,3039.2704449193993,17709.677996778573,43.474999999999994,2929,65.21249999999999,6508.362355252031,38027.85599355715
163,Montpellier;-Nice,Montpellier,Nice,261.6700229059889,2161.1279741813405,2065.938788768835,12038.122757818972,27.314,2351,40.971,4512.1279741813405,25715.085515637944
164,Montpellier;-Paris Saint-Germain,Montpellier,Paris Saint-Germain,585.6336088342335,3564.7575828602758,3029.2472163970183,17651.273141785747,41.337,3372,62.005500000000005,6936.757582860276,37782.766283571495
165,Montpellier;-Reims,Montpellier,Reims,657.1424664402282,3874.5823723685994,3241.879401537653,18890.270328392453,66.54599999999999,3808,99.81899999999999,7682.582372368599,41773.30065678491
166,Montpellier;-Rennes,Montpellier,Rennes,665.3654895677112,3910.210076332659,3266.3306294637455,19032.74641962705,28.805999999999997,2377,43.209,6287.210076332659,39793.8528392541
167,Montpellier;-Strasbourg,Montpellier,Strasbourg,659.0372040470816,3882.7916586006822,3247.513419631372,18923.09947212153,74.5,5052,111.75,8934.791658600683,42316.19894424306
168,Montpellier;-Saint-Étienne,Montpellier,Saint-Étienne,218.61599605051933,1974.5887781354604,1937.9172804429263,11292.14778448162,34.266999999999996,2423,51.40049999999999,4397.58877813546,24640.31556896324
169,Montpellier;-Toulouse,Montpellier,Toulouse,209.4746149620272,1934.9821256678365,1910.735307452123,11133.75977732386,36.135,2790,54.2025,4724.982125667837,24435.619554647717
170,Nantes;-Angers,Nantes,Angers,106.49680376238697,1488.812521690248,1604.529926056915,9349.516221619586,48.158,2455,72.237,3943.812521690248,21588.51244323917
171,Nantes;-Auxerre,Nantes,Auxerre,390.29649440880644,2718.424941196766,2448.4106757240093,14266.767455140754,32.415,2235,48.6225,4953.424941196767,30478.43491028151
172,Nantes;-Brest,Nantes,Brest,254.83813256761937,2131.5275993901228,2045.6241058061619,11919.750108725835,31.555,1950,47.3325,4081.5275993901228,25732.80021745167
173,Nantes;-Le Havre,Nantes,Le Havre,277.40391556380945,2229.2978505302976,2112.7236499539213,12310.735821291786,53.81099999999999,2938,80.71649999999998,5167.297850530298,27850.131642583572
174,Nantes;-Lens,Nantes,Lens,511.2282370919191,3242.383132895373,2808.002222288159,16362.089544907458,58.20099999999999,3142,87.30149999999999,6384.383132895373,36216.23908981492
175,Nantes;-Lille,Nantes,Lille,511.2282370919191,3242.383132895373,2808.002222288159,16362.089544907458,29.488,1838,44.232,5080.383132895373,34493.45908981492
176,Nantes;-Lyon,Nantes,Lyon,536.3904868888246,3351.4030362734484,2882.822382146537,16798.06290192621,45.607,2275,68.4105,5626.403036273448,36332.545803852416
177,Nantes;-Marseille,Nantes,Marseille,674.1528101686914,3948.282699035453,3292.4598006387737,19184.999802871043,50.806,2829,76.20899999999999,6777.282699035453,41418.35960574209
178,Nantes;-Monaco,Nantes,Monaco,789.587011266886,4448.421818224954,3635.704361399522,21185.068817913812,55.256,3357,82.884,7805.421818224954,45685.497635827625
179,Nantes;-Montpellier,Nantes,Montpellier,589.0044514029878,3579.3623552520307,3039.2704449193993,17709.677996778573,43.062,2944,64.59299999999999,6523.362355252031,38003.07599355715
180,Nantes;-Nice,Nantes,Nice,789.587011266886,4448.421818224954,3635.704361399522,21185.068817913812,28.563,1901,42.8445,6349.421818224954,44083.91763582762
181,Nantes;-Paris Saint-Germain,Nantes,Paris Saint-Germain,343.3479998952758,2515.012274327817,2308.808935300761,13453.315044277342,42.586,2922,63.879,5437.012274327817,29461.790088554684
182,Nantes;-Reims,Nantes,Reims,510.8784986903952,3240.86782933351,2806.9622722311556,16356.029807554025,67.795,3358,101.6925,6598.867829333511,36779.75961510805
183,Nantes;-Rennes,Nantes,Rennes,100.17756543331541,1461.4333025179171,1585.739618124177,9240.026030147688,30.055,1927,45.0825,3388.433302517917,20283.352060295376
184,Nantes;-Strasbourg,Nantes,Strasbourg,742.2536043792592,4243.341450328804,3494.958080818148,20364.94722837015,75.749,4602,113.62349999999998,8845.341450328804,45274.834456740304
185,Nantes;-Saint-Étienne,Nantes,Saint-Étienne,486.9026267663219,3136.9881181922174,2735.669816883074,15940.612209582509,35.516,1973,53.274,5109.988118192217,34012.184419165016
186,Nantes;-Toulouse,Nantes,Toulouse,455.3088259442848,3000.1023809960056,2641.725386352491,15393.202676788702,37.384,2340,56.076,5340.102380996006,33029.4453535774
187,Nice;-Angers,Nice,Angers,728.3431001003955,4183.071727046408,3453.5950802019142,20123.927077261655,32.741,2060,49.1115,6243.071727046408,42212.31415452331
188,Nice;-Auxerre,Nice,Auxerre,547.1833729878138,3398.165126673929,2914.9151190749712,16985.06568675175,16.998,1840,25.497000000000003,5238.165126673929,34990.0113735035
189,Nice;-Brest,Nice,Brest,1042.0886873891445,5542.430047053369,4386.520203562378,25560.035455651418,16.137999999999998,1555,24.206999999999997,7097.430047053369,52088.350911302834
190,Nice;-Le Havre,Nice,Le Havre,832.4016578626226,4633.923856902262,3763.014070524456,21926.896172644636,38.394,2543,57.591,7176.923856902262,46157.43234528927
191,Nice;-Lens,Nice,Lens,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,42.784,2747,64.176,7363.762256319909,46283.57299381551
192,Nice;-Lille,Nice,Lille,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,14.071000000000002,1443,21.106500000000004,6059.762256319909,44560.792993815514
193,Nice;-Lyon,Nice,Lyon,284.367066149662,2259.466933589396,2133.4286363584165,12431.382749163655,30.19,1880,45.285,4139.466933589396,26674.16549832731
194,Nice;-Marseille,Nice,Marseille,163.0087332484171,1733.660464223324,1772.568620218919,10328.669350155064,35.388999999999996,2434,53.083499999999994,4167.660464223324,22780.678700310127
195,Nice;-Monaco,Nice,Monaco,0.0,1027.3962592351656,1287.86079089524,7504.300892195242,39.839,2962,59.7585,3989.3962592351654,17398.941784390485
196,Nice;-Montpellier,Nice,Montpellier,261.6700229059889,2161.1279741813405,2065.938788768835,12038.122757818972,27.645,2549,41.4675,4710.1279741813405,25734.945515637944
197,Nice;-Nantes,Nice,Nantes,789.587011266886,4448.421818224954,3635.704361399522,21185.068817913812,29.307,2084,43.960499999999996,6532.421818224954,44128.55763582762
198,Nice;-Paris Saint-Germain,Nice,Paris Saint-Germain,675.4538246177807,3953.9195745405455,3296.328377965706,19207.541810898045,27.169,2527,40.7535,6480.919574540545,40045.22362179609
199,Nice;-Reims,Nice,Reims,682.9541468762709,3986.4160490022846,3318.630648823799,19337.49603598322,52.378,2963,78.567,6949.416049002284,41817.67207196644
200,Nice;-Rennes,Nice,Rennes,847.5200478153054,4699.426958778162,3807.9687292767962,22188.844737402953,14.638,1532,21.957,6231.426958778162,45255.969474805905
201,Nice;-Strasbourg,Nice,Strasbourg,572.9998066792679,3510.019397628466,2991.68050020577,17432.373751553623,60.332,4207,90.498,7717.019397628466,38484.667503107245
202,Nice;-Saint-Étienne,Nice,Saint-Étienne,311.05900634473386,2375.114491519529,2212.7973433875927,12893.860264732244,20.099,1578,30.1485,3953.114491519529,26993.660529464487
203,Nice;-Toulouse,Nice,Toulouse,470.59955550647044,3066.3521747507266,2687.192498372603,15658.137281297382,21.967,1945,32.9505,5011.352174750727,32634.294562594765
204,Paris Saint-Germain;-Angers,Paris Saint-Germain,Angers,237.88655858062975,2058.081903036087,1995.2184590219995,11626.038907322516,44.923,2578,67.3845,4636.081903036087,25947.457814645033
205,Paris Saint-Germain;-Auxerre,Paris Saint-Germain,Auxerre,128.98968546092593,1586.2669150478234,1671.4126975874335,9739.238810906634,29.18,2358,43.77,3944.266915047823,21229.277621813268
206,Paris Saint-Germain;-Brest,Paris Saint-Germain,Brest,500.44558178233046,3195.6653692018017,2775.9399066974274,16175.26402370643,28.32,2073,42.48,5268.665369201802,34049.72804741286
207,Paris Saint-Germain;-Le Havre,Paris Saint-Germain,Le Havre,176.32585413595353,1791.359248876989,1812.167190366703,10559.40825251974,50.57599999999999,3061,75.86399999999999,4852.359248876989,24153.37650503948
208,Paris Saint-Germain;-Lens,Paris Saint-Germain,Lens,210.8564565975596,1940.9691992723626,1914.8442250927947,11157.702236427236,54.965999999999994,3265,82.44899999999998,5205.969199272363,25613.36447285447
209,Paris Saint-Germain;-Lille,Paris Saint-Germain,Lille,210.8564565975596,1940.9691992723626,1914.8442250927947,11157.702236427236,26.253,1961,39.3795,3901.969199272363,23890.584472854473
210,Paris Saint-Germain;-Lyon,Paris Saint-Germain,Lyon,392.125394122963,2726.348973099115,2453.848924294094,14298.455859574666,42.372,2398,63.55800000000001,5124.348973099115,31139.23171914933
211,Paris Saint-Germain;-Marseille,Paris Saint-Germain,Marseille,627.7608496099742,3747.2813140856533,3154.512918576834,18381.190169522888,47.571,2952,71.3565,6699.281314085653,39616.64033904578
212,Paris Saint-Germain;-Monaco,Paris Saint-Germain,Monaco,675.4538246177807,3953.9195745405455,3296.328377965706,19207.541810898045,52.021,3480,78.0315,7433.919574540545,41536.34362179609
213,Paris Saint-Germain;-Montpellier,Paris Saint-Germain,Montpellier,585.6336088342335,3564.7575828602758,3029.2472163970183,17651.273141785747,39.827,3067,59.7405,6631.757582860276,37692.166283571496
214,Paris Saint-Germain;-Nantes,Paris Saint-Germain,Nantes,343.3479998952758,2515.012274327817,2308.808935300761,13453.315044277342,41.489,2602,62.23349999999999,5117.012274327817,29395.970088554684
215,Paris Saint-Germain;-Nice,Paris Saint-Germain,Nice,675.4538246177807,3953.9195745405455,3296.328377965706,19207.541810898045,25.328,2024,37.992,5977.919574540545,39934.76362179609
216,Paris Saint-Germain;-Reims,Paris Saint-Germain,Reims,167.57730160513395,1753.4545957038351,1786.153296371984,10407.826583682428,64.56,3481,96.84000000000002,5234.454595703835,24689.253167364855
217,Paris Saint-Germain;-Rennes,Paris Saint-Germain,Rennes,312.8401296812667,2382.8315238048185,2218.093528499914,12924.720872450565,26.82,2050,40.23,4432.831523804818,27458.64174490113
218,Paris Saint-Germain;-Strasbourg,Paris Saint-Germain,Strasbourg,418.5607669117976,2840.884907304672,2532.4547259986643,14756.487963691508,72.514,4725,108.771,7565.884907304672,33863.81592738302
219,Paris Saint-Germain;-Saint-Étienne,Paris Saint-Germain,Saint-Étienne,384.1362163834855,2691.734445691664,2430.0930375816815,14160.031487071701,32.281,2096,48.4215,4787.7344456916635,30256.922974143403
220,Paris Saint-Germain;-Toulouse,Paris Saint-Germain,Toulouse,572.2151799850625,3506.6198635215974,2989.347406179463,17418.778928489697,34.149,2463,51.2235,5969.619863521597,36886.4978569794
221,Reims;-Angers,Reims,Angers,405.4377710109522,2784.027203534598,2493.433388119615,14529.11256509983,73.89,3451,110.83499999999998,6235.027203534598,33491.62513019966
222,Reims;-Auxerre,Reims,Auxerre,192.98487361318675,1863.5374010072806,1861.702923873478,10848.050512442906,58.147000000000006,3231,87.2205,5094.537401007281,25184.92102488581
223,Reims;-Brest,Reims,Brest,651.329387605287,3849.3961788433935,3224.5941630867915,18789.55010207169,57.287,2946,85.9305,6795.3961788433935,41016.32020414338
224,Reims;-Le Havre,Reims,Le Havre,304.84133135952123,2348.1753135209256,2194.309034905803,12786.129809068141,79.543,3934,119.3145,6282.175313520926,30344.839618136284
225,Reims;-Lens,Reims,Lens,150.7936961481534,1680.7366527526135,1736.2471054142238,10117.025686583876,83.93299999999999,4138,125.89949999999999,5818.736652752614,25270.031373167752
226,Reims;-Lille,Reims,Lille,150.7936961481534,1680.7366527526135,1736.2471054142238,10117.025686583876,55.22,2834,82.83,4514.736652752614,23547.251373167754
227,Reims;-Lyon,Reims,Lyon,421.52110604266323,2853.711100853271,2541.2573191210654,14807.780236807572,71.339,3271,107.0085,6124.711100853271,33895.90047361514
228,Reims;-Marseille,Reims,Marseille,675.2419148928846,3953.001438129075,3295.6982626294284,19203.87016011588,76.538,3825,114.807,7778.001438129075,43000.02032023176
229,Reims;-Monaco,Reims,Monaco,682.9541468762709,3986.4160490022846,3318.630648823799,19337.49603598322,80.988,4353,121.482,8339.416049002284,43534.272071966436
230,Reims;-Montpellier,Reims,Montpellier,657.1424664402282,3874.5823723685994,3241.879401537653,18890.270328392453,68.794,3940,103.19099999999999,7814.582372368599,41908.180656784905
231,Reims;-Nantes,Reims,Nantes,510.8784986903952,3240.86782933351,2806.9622722311556,16356.029807554025,70.456,3475,105.68400000000001,6715.867829333511,36939.419615108054
232,Reims;-Nice,Reims,Nice,682.9541468762709,3986.4160490022846,3318.630648823799,19337.49603598322,54.295,2897,81.4425,6883.416049002284,41932.692071966434
233,Reims;-Paris Saint-Germain,Reims,Paris Saint-Germain,167.57730160513395,1753.4545957038351,1786.153296371984,10407.826583682428,68.318,3918,102.477,5671.454595703835,24914.73316736486
234,Reims;-Rennes,Reims,Rennes,474.80371741505115,3084.5674507597746,2699.6936089095952,15730.980631773928,55.787,2923,83.6805,6007.567450759774,34809.181263547856
235,Reims;-Strasbourg,Reims,Strasbourg,281.4863389844126,2246.9856729807875,2124.86277008048,12381.469871617892,101.481,5598,152.2215,7844.985672980787,30851.799743235784
236,Reims;-Saint-Étienne,Reims,Saint-Étienne,439.40009785184725,2931.17499916392,2594.4206505428165,15117.56032968779,61.248000000000005,2969,91.872,5900.17499916392,33910.00065937558
237,Reims;-Toulouse,Reims,Toulouse,689.8451943637642,4016.2727326185736,3339.121236063313,19456.89367056467,63.116,3336,94.674,7352.272732618574,42700.74734112934
238,Rennes;-Angers,Rennes,Angers,119.75531794913363,1546.257382433731,1643.954228690575,9579.23967583104,34.705,1945,52.05749999999999,3491.257382433731,21240.77935166208
239,Rennes;-Auxerre,Rennes,Auxerre,390.9302358068088,2721.170738036658,2450.295111062269,14277.747966303265,18.962000000000003,1725,28.44300000000001,4446.170738036658,29693.21593260653
240,Rennes;-Brest,Rennes,Brest,203.0790277450136,1907.2721114174167,1891.7179754636295,11022.946727949773,18.102,1440,27.153000000000002,3347.2721114174165,23132.013455899545
241,Rennes;-Le Havre,Rennes,Le Havre,201.4120910732782,1900.0498130793594,1886.7613253524628,10994.064573826834,40.358,2428,60.537,4328.049813079359,24409.609147653668
242,Rennes;-Lens,Rennes,Lens,448.29426876406757,2969.7105697629213,2620.867542010443,15271.665053303404,44.748,2632,67.12199999999999,5601.710569762921,33228.210106606806
243,Rennes;-Lille,Rennes,Lille,448.29426876406757,2969.7105697629213,2620.867542010443,15271.665053303404,16.035,1328,24.0525,4297.710569762921,31505.430106606807
244,Rennes;-Lyon,Rennes,Lyon,579.8615552771354,3539.7491386167367,3012.0839669523557,17551.263739347913,32.154,1765,48.23100000000001,5304.749138616737,37031.76747869582
245,Rennes;-Marseille,Rennes,Marseille,744.3103513773921,4252.252670939814,3501.073835189503,20400.583425473018,37.353,2319,56.029500000000006,6571.252670939814,43042.346850946036
246,Rennes;-Monaco,Rennes,Monaco,847.5200478153054,4699.426958778162,3807.9687292767962,22188.844737402953,41.803,2847,62.704499999999996,7546.426958778162,46885.869474805906
247,Rennes;-Montpellier,Rennes,Montpellier,665.3654895677112,3910.210076332659,3266.3306294637455,19032.74641962705,29.609,2434,44.413500000000006,6344.210076332659,39842.0328392541
248,Rennes;-Nantes,Rennes,Nantes,100.17756543331541,1461.4333025179171,1585.739618124177,9240.026030147688,31.271,1969,46.9065,3430.433302517917,20356.312060295375
249,Rennes;-Nice,Rennes,Nice,847.5200478153054,4699.426958778162,3807.9687292767962,22188.844737402953,15.11,1391,22.664999999999996,6090.426958778162,45284.289474805904
250,Rennes;-Paris Saint-Germain,Rennes,Paris Saint-Germain,312.8401296812667,2382.8315238048185,2218.093528499914,12924.720872450565,29.133000000000003,2412,43.69950000000001,4794.831523804818,27597.42174490113
251,Rennes;-Reims,Rennes,Reims,474.80371741505115,3084.5674507597746,2699.6936089095952,15730.980631773928,54.342,2848,81.513,5932.567450759774,34722.48126354785
252,Rennes;-Strasbourg,Rennes,Strasbourg,728.9634304869036,4185.759418303965,3455.4396377855232,20134.67522272756,62.296,4092,93.444,8277.759418303966,44007.110445455124
253,Rennes;-Saint-Étienne,Rennes,Saint-Étienne,538.0920172759094,3358.7752180096636,2887.8818969591284,16827.54444355759,22.063000000000002,1463,33.09450000000001,4821.775218009663,34978.868887115175
254,Rennes;-Toulouse,Rennes,Toulouse,547.4563403867617,3399.347806271296,2915.726789914831,16989.795252439893,23.931,1830,35.8965,5229.347806271297,35415.45050487979
255,Strasbourg;-Angers,Strasbourg,Angers,636.9029803808161,3786.891214684823,3181.697120754364,18539.59116604103,81.83500000000001,4688,122.75250000000001,8474.891214684823,41989.28233208206
256,Strasbourg;-Auxerre,Strasbourg,Auxerre,354.43538023782025,2563.0503131922446,2341.7773533212285,13645.420379352636,66.092,4468,99.138,7031.050313192245,31256.360758705272
257,Strasbourg;-Brest,Strasbourg,Brest,918.8896671106271,5008.648473646951,4020.1868881381015,23425.4294134345,65.232,4183,97.848,9191.64847364695,50764.778826869
258,Strasbourg;-Le Havre,Strasbourg,Le Havre,580.8865277387887,3544.19001332534,3015.1317311248886,17569.02290987382,87.488,5171,131.232,8715.19001332534,40387.32581974764
259,Strasbourg;-Lens,Strasbourg,Lens,410.0394510926723,2803.964797427638,2507.1165222634368,14608.843508451348,91.878,5375,137.817,8178.964797427638,34730.367016902695
260,Strasbourg;-Lille,Strasbourg,Lille,410.0394510926723,2803.964797427638,2507.1165222634368,14608.843508451348,63.165,4071,94.7475,6874.964797427638,33007.5870169027
261,Strasbourg;-Lyon,Strasbourg,Lyon,407.90667563754386,2794.724170062361,2500.774696640421,14571.89000538844,79.284,4508,118.926,7302.724170062361,33900.82001077688
262,Strasbourg;-Marseille,Strasbourg,Marseille,633.4541767410641,3771.948662146379,3171.4420743364503,18479.83551967963,84.483,5062,126.72450000000002,8833.948662146378,42028.65103935926
263,Strasbourg;-Monaco,Strasbourg,Monaco,572.9998066792679,3510.019397628466,2991.68050020577,17432.373751553623,88.93299999999999,5590,133.3995,9100.019397628466,40200.72750310725
264,Strasbourg;-Montpellier,Strasbourg,Montpellier,659.0372040470816,3882.7916586006822,3247.513419631372,18923.09947212153,76.739,5177,115.1085,9059.791658600683,42450.53894424306
265,Strasbourg;-Nantes,Strasbourg,Nantes,742.2536043792592,4243.341450328804,3494.958080818148,20364.94722837015,78.401,4712,117.60149999999999,8955.341450328804,45433.9544567403
266,Strasbourg;-Nice,Strasbourg,Nice,572.9998066792679,3510.019397628466,2991.68050020577,17432.373751553623,62.24,4134,93.36,7644.019397628466,38599.14750310725
267,Strasbourg;-Paris Saint-Germain,Strasbourg,Paris Saint-Germain,418.5607669117976,2840.884907304672,2532.4547259986643,14756.487963691508,76.263,5155,114.39450000000001,7995.884907304672,34088.75592738302
268,Strasbourg;-Reims,Strasbourg,Reims,281.4863389844126,2246.9856729807875,2124.86277008048,12381.469871617892,101.47200000000001,5591,152.20800000000003,7837.985672980787,30851.259743235783
269,Strasbourg;-Rennes,Strasbourg,Rennes,728.9634304869036,4185.759418303965,3455.4396377855232,20134.67522272756,63.732,4160,95.598,8345.759418303966,44093.27044545512
270,Strasbourg;-Saint-Étienne,Strasbourg,Saint-Étienne,460.7456462020124,3023.6583676015557,2657.8918167825104,15487.40366431568,69.193,4206,103.7895,7229.658367601556,35126.38732863136
271,Strasbourg;-Toulouse,Strasbourg,Toulouse,770.6670350853099,4366.44767076678,3579.445654254968,20857.252124367955,71.061,4573,106.59150000000001,8939.44767076678,45978.16424873591
272,Saint-Étienne;-Angers,Saint-Étienne,Angers,418.48541430794785,2840.5584288038503,2532.2306644019754,14755.182367891228,40.733,2027,61.0995,4867.55842880385,31954.344735782455
273,Saint-Étienne;-Auxerre,Saint-Étienne,Auxerre,264.2267174617288,2172.2053061243805,2073.541141376948,12082.421289044685,24.990000000000002,1807,37.485,3979.2053061243805,25664.24257808937
274,Saint-Étienne;-Brest,Saint-Étienne,Brest,735.5789005249867,4214.422113817029,3475.1107931783354,20249.298068619297,24.13,1522,36.195,5736.422113817029,41946.3961372386
275,Saint-Étienne;-Le Havre,Saint-Étienne,Le Havre,527.5367842805271,3313.042801767967,2856.4958235185077,16644.659351792954,46.385999999999996,2510,69.579,5823.042801767967,36072.478703585904
276,Saint-Étienne;-Lens,Saint-Étienne,Lens,566.8900823792654,3483.547935091167,2973.5131839877654,17326.51370187481,50.775999999999996,2714,76.164,6197.547935091166,37699.58740374962
277,Saint-Étienne;-Lille,Saint-Étienne,Lille,566.8900823792654,3483.547935091167,2973.5131839877654,17326.51370187481,22.063,1410,33.0945,4893.547935091166,35976.80740374962
278,Saint-Étienne;-Lyon,Saint-Étienne,Lyon,65.3760763836137,1310.6496880066968,1482.2570998666683,8637.03853369117,38.182,1847,57.273,3157.649688006697,19564.99706738234
279,Saint-Étienne;-Marseille,Saint-Étienne,Marseille,243.94926705306577,2084.3496611741416,2013.2459732841858,11731.084337945298,43.381,2401,65.0715,4485.349661174141,26065.028675890597
280,Saint-Étienne;-Monaco,Saint-Étienne,Monaco,311.05900634473386,2375.114491519529,2212.7973433875927,12893.860264732244,47.830999999999996,2929,71.74649999999998,5304.114491519529,28657.58052946449
281,Saint-Étienne;-Montpellier,Saint-Étienne,Montpellier,218.61599605051933,1974.5887781354604,1937.9172804429263,11292.14778448162,35.637,2516,53.45550000000001,4490.58877813546,24722.51556896324
282,Saint-Étienne;-Nantes,Saint-Étienne,Nantes,486.9026267663219,3136.9881181922174,2735.669816883074,15940.612209582509,37.299,2051,55.9485,5187.988118192217,34119.16441916502
283,Saint-Étienne;-Nice,Saint-Étienne,Nice,311.05900634473386,2375.114491519529,2212.7973433875927,12893.860264732244,21.137999999999998,1473,31.707,3848.114491519529,27056.000529464487
284,Saint-Étienne;-Paris Saint-Germain,Saint-Étienne,Paris Saint-Germain,384.1362163834855,2691.734445691664,2430.0930375816815,14160.031487071701,35.161,2494,52.7415,5185.7344456916635,30429.722974143402
285,Saint-Étienne;-Reims,Saint-Étienne,Reims,439.40009785184725,2931.17499916392,2594.4206505428165,15117.56032968779,60.37,2930,90.555,5861.17499916392,33857.32065937558
286,Saint-Étienne;-Rennes,Saint-Étienne,Rennes,538.0920172759094,3358.7752180096636,2887.8818969591284,16827.54444355759,22.63,1499,33.945,4857.775218009663,35012.88888711518
287,Saint-Étienne;-Strasbourg,Saint-Étienne,Strasbourg,460.7456462020124,3023.6583676015557,2657.8918167825104,15487.40366431568,68.324,4174,102.48599999999999,7197.658367601556,35074.24732863136
288,Saint-Étienne;-Toulouse,Saint-Étienne,Toulouse,313.77587451353776,2386.88580400727,2220.8759735714902,12940.934041747068,29.959,1912,44.9385,4298.88580400727,27679.408083494138
289,Toulouse;-Angers,Toulouse,Angers,456.23817683004665,3004.1289582928634,2644.488818970737,15409.30506146353,41.599000000000004,2307,62.3985,5311.128958292864,33314.55012292706
290,Toulouse;-Auxerre,Toulouse,Auxerre,496.89619699124665,3180.2870310126955,2765.385781386246,16113.765659481842,25.856,2087,38.784,5267.2870310126955,33778.89131896368
291,Toulouse;-Brest,Toulouse,Brest,696.8025438598921,4046.416681429091,3359.808972879077,19577.44008593936,24.996000000000002,1802,37.49400000000001,5848.416681429091,40654.640171878724
292,Toulouse;-Le Havre,Toulouse,Le Havre,644.1765095281879,3818.405067828496,3203.325020402982,18665.615863568015,47.251999999999995,2790,70.878,6608.405067828497,40166.35172713603
293,Toulouse;-Lens,Toulouse,Lens,782.2522093109022,4416.642489786802,3613.8942665429113,21057.982477955007,51.641999999999996,2994,77.46299999999998,7410.642489786802,45214.48495591001
294,Toulouse;-Lille,Toulouse,Lille,782.2522093109022,4416.642489786802,3613.8942665429113,21057.982477955007,22.929000000000002,1690,34.39350000000001,6106.642489786802,43491.70495591001
295,Toulouse;-Lyon,Toulouse,Lyon,375.20153143224644,2653.0233408437416,2403.5256772807697,14005.224797545252,39.048,2127,58.572,4780.023340843742,30353.329595090505
296,Toulouse;-Marseille,Toulouse,Marseille,311.0861755431129,2375.2322068830617,2212.878131225817,12894.331011454833,44.247,2681,66.3705,5056.232206883062,28443.482022909666
297,Toulouse;-Monaco,Toulouse,Monaco,470.59955550647044,3066.3521747507266,2687.192498372603,15658.137281297382,48.697,3209,73.0455,6275.352174750727,34238.094562594764
298,Toulouse;-Montpellier,Toulouse,Montpellier,209.4746149620272,1934.9821256678365,1910.735307452123,11133.75977732386,36.503,2796,54.75449999999999,4730.982125667837,24457.69955464772
299,Toulouse;-Nantes,Toulouse,Nantes,455.3088259442848,3000.1023809960056,2641.725386352491,15393.202676788702,38.165,2331,57.2475,5331.102380996006,33076.3053535774
300,Toulouse;-Nice,Toulouse,Nice,470.59955550647044,3066.3521747507266,2687.192498372603,15658.137281297382,22.004,1753,33.006,4819.352174750727,32636.514562594766
301,Toulouse;-Paris Saint-Germain,Toulouse,Paris Saint-Germain,572.2151799850625,3506.6198635215974,2989.347406179463,17418.778928489697,36.027,2774,54.0405,6280.619863521597,36999.1778569794
302,Toulouse;-Reims,Toulouse,Reims,689.8451943637642,4016.2727326185736,3339.121236063313,19456.89367056467,61.236000000000004,3210,91.85400000000001,7226.272732618574,42587.947341129344
303,Toulouse;-Rennes,Toulouse,Rennes,547.4563403867617,3399.347806271296,2915.726789914831,16989.795252439893,23.496000000000002,1779,35.24400000000001,5178.347806271297,35389.35050487979
304,Toulouse;-Strasbourg,Toulouse,Strasbourg,770.6670350853099,4366.44767076678,3579.445654254968,20857.252124367955,69.19,4454,103.78499999999998,8820.44767076678,45865.90424873591
305,Toulouse;-Saint-Étienne,Toulouse,Saint-Étienne,313.77587451353776,2386.88580400727,2220.8759735714902,12940.934041747068,28.957,1825,43.4355,4211.88580400727,27619.28808349414
