,Hosting team,visiting team,Time,emission_carbone
0,Angers,Auxerre,2271.3732732026524,27109.893006152102
1,Angers,Brest,2417.3825986404795,28226.08299302112
2,Angers,Le Havre,1908.3767279839813,25490.38823519804
3,Angers,Lens,2831.338834404791,33135.68595238674
4,Angers,Lille,2831.338834404791,31412.905952386736
5,Angers,Lyon,3021.5858412854054,33901.651158087014
6,Angers,Marseille,3752.624059764308,40060.47188983688
7,Angers,Monaco,4183.071727046408,43770.21415452331
8,Angers,Montpellier,3427.8079631396577,36997.93628231512
9,Angers,Nantes,1488.812521690248,21589.47244323917
10,Angers,Nice,4183.071727046408,42168.63415452331
11,Angers,Paris Saint-Germain,2058.081903036087,26014.237814645032
12,Angers,Reims,2784.027203534598,33332.925130199656
13,Angers,Rennes,1546.257382433731,21168.77935166208
14,Angers,Strasbourg,3786.891214684823,41831.12233208207
15,Angers,Saint-Étienne,2840.5584288038503,31848.32473578245
16,Angers,Toulouse,3004.1289582928634,33268.65012292706
17,Auxerre,Angers,2271.3732732026524,27192.9330061521
18,Auxerre,Brest,3588.537684449154,36731.50074162373
19,Auxerre,Le Havre,2319.912764177844,27920.334315705943
20,Auxerre,Lens,2345.010102724173,28384.464101721875
21,Auxerre,Lille,2345.010102724173,26661.68410172188
22,Auxerre,Lyon,2175.8647347830915,26275.99087401835
23,Auxerre,Marseille,3227.2432346792457,34996.90941635746
24,Auxerre,Monaco,3398.165126673929,36630.9513735035
25,Auxerre,Montpellier,3088.1306904783946,33419.64023545763
26,Auxerre,Nantes,2718.424941196766,30562.43491028151
27,Auxerre,Nice,3398.165126673929,35029.3713735035
28,Auxerre,Paris Saint-Germain,1586.2669150478234,21379.097621813267
29,Auxerre,Reims,1863.5374010072808,25109.26102488581
30,Auxerre,Rennes,2721.170738036658,29704.255932606527
31,Auxerre,Strasbourg,2563.0503131922446,31181.240758705277
32,Auxerre,Saint-Étienne,2172.2053061243805,25641.26257808937
33,Auxerre,Toulouse,3180.2870310126955,33816.03131896368
34,Brest,Angers,2417.3825986404795,28330.06299302112
35,Brest,Auxerre,3588.537684449154,36752.44074162372
36,Brest,Le Havre,2541.9983356706884,29665.925975247123
37,Brest,Lens,3590.155843068087,38312.542856291344
38,Brest,Lille,3590.155843068087,36589.76285629135
39,Brest,Lyon,4408.419176830291,44101.4144819988
40,Brest,Marseille,5052.4113714689065,49564.036702231446
41,Brest,Monaco,5542.430047053369,53750.23091130283
42,Brest,Montpellier,4680.241584455132,46122.76387835796
43,Brest,Nantes,2131.5275993901228,25837.740217451672
44,Brest,Nice,5542.430047053369,52148.65091130284
45,Brest,Paris Saint-Germain,3195.6653692018017,34220.48804741286
46,Brest,Reims,3849.3961788433935,40961.60020414338
47,Brest,Rennes,1907.272111417417,23163.993455899545
48,Brest,Strasbourg,5008.648473646951,50710.598826869
49,Brest,Saint-Étienne,4214.422113817029,41944.3561372386
50,Brest,Toulouse,4046.416681429091,40712.72017187872
51,Le Havre,Angers,1908.3767279839813,25531.90823519804
52,Le Havre,Auxerre,2319.912764177844,27878.814315705946
53,Le Havre,Brest,2541.9983356706884,29603.465975247123
54,Le Havre,Lens,2107.7064407512,27728.737383031774
55,Le Havre,Lille,2107.7064407512,26005.95738303177
56,Le Havre,Lyon,3403.525870158806,37337.12687166117
57,Le Havre,Marseille,4338.690836165975,45128.56367845177
58,Le Havre,Monaco,4633.923856902262,47756.85234528927
59,Le Havre,Montpellier,4086.686844267976,42648.38297578059
60,Le Havre,Nantes,2229.2978505302976,27892.61164258357
61,Le Havre,Nice,4633.923856902262,46155.27234528928
62,Le Havre,Paris Saint-Germain,1791.359248876989,24261.67650503948
63,Le Havre,Reims,2348.1753135209256,30227.659618136284
64,Le Havre,Rennes,1900.0498130793596,24379.129147653668
65,Le Havre,Strasbourg,3544.19001332534,40270.68581974764
66,Le Havre,Saint-Étienne,3313.042801767967,36007.978703585904
67,Le Havre,Toulouse,3818.405067828496,40161.97172713603
68,Lens,Angers,2831.338834404791,33237.74595238674
69,Lens,Auxerre,2345.010102724173,28403.484101721875
70,Lens,Brest,3590.155843068087,38310.62285629135
71,Lens,Le Havre,2107.7064407512,27789.27738303177
72,Lens,Lille,1027.3962592351656,17689.521784390483
73,Lens,Lyon,3446.745295938716,38006.73803007974
74,Lens,Marseille,4531.02591982624,46990.8094280918
