Id,Visiting team,Hosting team,étape,transport,emissions_kg_co2,travel_time_seconds,distance_km,alternative_emissions_kg_co2,alternative_emissions_kg_co2_wo_empty_bus,alternative_travel_time_seconds,alternative_distance_km,alternative_emissions_kg_co2_scenario<3,alternative_emissions_kg_co2_wo_empty_bus_scenario<3,alternative_travel_time_seconds_scenario<3,alternative_distance_km_scenario<3,alternative_emissions_kg_co2_scenario<6,alternative_emissions_kg_co2_wo_empty_bus_scenario<6,alternative_travel_time_seconds_scenario<6,alternative_distance_km_scenario<6
12,Montpellier,Paris Saint-Germain,retour,avion,7166.310342472098,7631.0,666.703668677764,1225.9146279999998,118.169128,14333.0,687.731,1225.9146279999998,118.169128,14333.0,687.731,1225.9146279999998,118.169128,14333.0,687.731
13,Strasbourg,Paris Saint-Germain,aller,train,823.6133679999999,9048.0,414.719,823.6133679999999,75.323368,9048.0,414.719,823.6133679999999,75.323368,9048.0,414.719,823.6133679999999,75.323368,9048.0,414.719
13,Strasbourg,Paris Saint-Germain,retour,train,823.6133679999999,9048.0,414.719,823.6133679999999,75.323368,9048.0,414.719,823.6133679999999,75.323368,9048.0,414.719,823.6133679999999,75.323368,9048.0,414.719
14,Nantes,Paris Saint-Germain,aller,bus,563.7915,12552.0,375.861,623.7644300000001,59.97293,9369.0,354.972,623.7644300000001,59.97293,9369.0,354.972,623.7644300000001,59.97293,9369.0,354.972
14,Nantes,Paris Saint-Germain,retour,bus,563.7915,12552.0,375.861,623.7644300000001,59.97293,9369.0,354.972,623.7644300000001,59.97293,9369.0,354.972,623.7644300000001,59.97293,9369.0,354.972
15,Le Havre,Paris Saint-Germain,aller,bus,285.73799999999994,6930.0,190.492,285.73799999999994,285.73799999999994,6930.0,190.492,285.73799999999994,285.73799999999994,6930.0,190.492,285.73799999999994,285.73799999999994,6930.0,190.492
15,Le Havre,Paris Saint-Germain,retour,bus,285.73799999999994,6930.0,190.492,285.73799999999994,285.73799999999994,6930.0,190.492,285.73799999999994,285.73799999999994,6930.0,190.492,285.73799999999994,285.73799999999994,6930.0,190.492
16,Auxerre,Paris Saint-Germain,aller,bus,255.798,6647.0,170.532,255.798,255.798,6647.0,170.532,255.798,255.798,6647.0,170.532,255.798,255.798,6647.0,170.532
16,Auxerre,Paris Saint-Germain,retour,bus,255.798,6647.0,170.532,255.798,255.798,6647.0,170.532,255.798,255.798,6647.0,170.532,255.798,255.798,6647.0,170.532
17,Angers,Paris Saint-Germain,aller,train,481.40636399999994,6747.0,273.029,481.40636399999994,46.494864,6747.0,273.029,481.40636399999994,46.494864,6747.0,273.029,481.40636399999994,46.494864,6747.0,273.029
17,Angers,Paris Saint-Germain,retour,train,481.40636399999994,6747.0,273.029,481.40636399999994,46.494864,6747.0,273.029,481.40636399999994,46.494864,6747.0,273.029,481.40636399999994,46.494864,6747.0,273.029
18,Saint-Étienne,Paris Saint-Germain,aller,train,894.6660939999999,12471.0,463.553,894.6660939999999,79.050094,12471.0,463.553,894.6660939999999,79.050094,12471.0,463.553,894.6660939999999,79.050094,12471.0,463.553
18,Saint-Étienne,Paris Saint-Germain,retour,train,894.6660939999999,12471.0,463.553,894.6660939999999,79.050094,12471.0,463.553,894.6660939999999,79.050094,12471.0,463.553,894.6660939999999,79.050094,12471.0,463.553
