team,scenario,transport_type,alternative_selected,emissions_tonnes_co2_from_transport,emissions_tonnes_co2_from_empty_bus,emissions_tonnes_co2,travel_time_hours
Auxerre,S-4h,avion,0,188.27531438483618,34.271358,222.54667238483617,57.11388888888889
Auxerre,S-4h,bus,12,12.388608,0.0,12.388608,82.41277777777778
Auxerre,S-4h,train,2,2.302914324,2.212782,4.515696324,15.233333333333333
Auxerre,S-4h',avion,0,188.27531438483618,0.0,188.27531438483618,57.11388888888889
Auxerre,S-4h',bus,12,12.388608,0.0,12.388608,82.41277777777778
Auxerre,S-4h',train,2,2.302914324,0.0,2.302914324,15.233333333333333
Auxerre,S-6h,avion,0,88.6696906714752,17.335062,106.00475267147519,25.174444444444443
Auxerre,S-6h,bus,22,25.603554,0.0,25.603554,169.10222222222222
Auxerre,S-6h,train,4,3.0167665359999996,5.934132,8.950898536,38.068888888888885
Auxerre,S-6h',avion,0,88.6696906714752,0.0,88.6696906714752,25.174444444444443
Auxerre,S-6h',bus,22,25.603554,0.0,25.603554,169.10222222222222
Auxerre,S-6h',train,4,3.0167665359999996,0.0,3.0167665359999996,38.068888888888885
Auxerre,S-NP,bus,28,38.640054000000006,0.0,38.640054000000006,255.29
Auxerre,S-NP,train,6,5.113015616,10.232693999999999,15.345709615999999,65.64666666666666
Auxerre,S-NP',bus,28,38.640054000000006,0.0,38.640054000000006,255.29
Auxerre,S-NP',train,6,5.113015616,0.0,5.113015616,65.64666666666666
Auxerre,SA,avion,0,240.54360174441635,42.034413,282.57801474441635,75.285
Auxerre,SA,bus,0,6.838334999999999,0.0,6.838334999999999,46.855555555555554
Auxerre,SA',avion,0,240.54360174441635,0.0,240.54360174441635,75.285
Auxerre,SA',bus,0,6.838334999999999,0.0,6.838334999999999,46.855555555555554
Brest,S-4h,avion,0,382.78126539911403,78.929964,461.711229399114,99.8711111111111
Brest,S-4h,bus,6,5.453201999999999,0.0,5.453201999999999,36.62888888888889
Brest,S-4h',avion,0,382.78126539911403,0.0,382.78126539911403,99.8711111111111
Brest,S-4h',bus,6,5.453201999999999,0.0,5.453201999999999,36.62888888888889
Brest,S-6h,avion,0,344.75637617549773,72.687378,417.4437541754977,87.85444444444444
Brest,S-6h,bus,8,8.184612,0.0,8.184612,55.20666666666666
Brest,S-6h,train,2,0.31374727999999996,3.511175999999999,3.824923279999999,16.605555555555554
Brest,S-6h',avion,0,344.75637617549773,0.0,344.75637617549773,87.85444444444444
Brest,S-6h',bus,8,8.184612,0.0,8.184612,55.20666666666666
Brest,S-6h',train,2,0.31374727999999996,0.0,0.31374727999999996,16.605555555555554
Brest,S-NP,bus,10,13.497738,0.0,13.497738,87.80888888888889
Brest,S-NP,train,24,26.77661,70.885428,97.66203800000001,381.5733333333333
Brest,S-NP',bus,10,13.497738,0.0,13.497738,87.80888888888889
Brest,S-NP',train,24,26.77661,0.0,26.77661,381.5733333333333
Brest,SA,avion,0,382.78126539911403,78.929964,461.711229399114,99.8711111111111
Brest,SA,bus,0,5.453201999999999,0.0,5.453201999999999,36.62888888888889
Brest,SA',avion,0,382.78126539911403,0.0,382.78126539911403,99.8711111111111
Brest,SA',bus,0,5.453201999999999,0.0,5.453201999999999,36.62888888888889
Reims,S-4h,avion,0,208.58168131423014,38.499978,247.08165931423014,75.065
