departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Angers,Nice,63450,2252.926,1185.1256600000002,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.698, 'co2_kg': 0.61996728, 'time_s': 4860}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Paris - Gare de Lyon - Banlieue (Paris)', 'type': 'car', 'distance_km': 5.689, 'co2_kg': 8.5335, 'time_s': 1155}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Nice (Nice)', 'type': 'public_transport', 'distance_km': 833.737, 'co2_kg': 1.96761932, 'time_s': 21240}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Nice (Nice)', 'to': 'Stade Louis II', 'distance_km': 42.812, 'travel_time_seconds': 3778, 'emissions_kg_co2': 64.218}]}}"
Angers,Paris Saint-Germain,13494,546.058,92.989728,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.698, 'co2_kg': 0.61996728, 'time_s': 5040}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Parc des Princes', 'distance_km': 14.796, 'travel_time_seconds': 2152, 'emissions_kg_co2': 22.193999999999996}]}}"
Angers,Reims,27006,865.594,121.98946,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Champagne-Ardenne TGV (Bezannes)', 'type': 'public_transport', 'distance_km': 423.71, 'co2_kg': 0.9999556000000001, 'time_s': 10980}, {'from': 'Champagne-Ardenne TGV (Bezannes)', 'to': 'Reims Maison Blanche (Reims)', 'type': 'public_transport', 'distance_km': 2.91, 'co2_kg': 0.034629, 'time_s': 300}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Reims Maison Blanche (Reims)', 'to': 'Stade Auguste Delaune', 'distance_km': 6.488, 'travel_time_seconds': 1024, 'emissions_kg_co2': 9.732000000000001}]}}"
Angers,Rennes,13808,321.256,56.844372,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Rennes (Rennes)', 'type': 'public_transport', 'distance_km': 153.777, 'co2_kg': 0.36291372, 'time_s': 5640}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Rennes (Rennes)', 'to': 'Roazhon Park', 'distance_km': 7.836, 'travel_time_seconds': 1266, 'emissions_kg_co2': 11.754000000000001}]}}"
Angers,Strasbourg,34564,1427.77,188.692756,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Strasbourg (Strasbourg)', 'type': 'public_transport', 'distance_km': 706.571, 'co2_kg': 1.66750756, 'time_s': 15780}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Strasbourg (Strasbourg)', 'to': 'Stade de la Meinau', 'distance_km': 8.762, 'travel_time_seconds': 1742, 'emissions_kg_co2': 13.142999999999999}]}}"
Angers,Saint-Étienne,39944,1413.184,320.86071599999997,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Le Mans (Le Mans)', 'type': 'public_transport', 'distance_km': 89.883, 'co2_kg': 1.0696077, 'time_s': 3120}, {'from': 'Le Mans (Le Mans)', 'to': 'Lyon Part Dieu (Lyon)', 'type': 'public_transport', 'distance_km': 556.791, 'co2_kg': 1.31402676, 'time_s': 10920}, {'from': 'Lyon Part Dieu (Lyon)', 'to': 'Saint-Étienne Châteaucreux (Saint-Étienne)', 'type': 'public_transport', 'distance_km': 53.733, 'co2_kg': 0.6394227, 'time_s': 2760}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Saint-Étienne Châteaucreux (Saint-Étienne)', 'to': 'Stade Geoffroy Guichard', 'distance_km': 6.504, 'travel_time_seconds': 1242, 'emissions_kg_co2': 9.756}]}}"
Angers,Toulouse,51308,1283.936,174.90447199999997,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Saint-Pierre-des-Corps (Saint-Pierre-des-Corps)', 'type': 'public_transport', 'distance_km': 104.052, 'co2_kg': 0.24556272, 'time_s': 4200}, {'from': 'Saint-Pierre-des-Corps (Saint-Pierre-des-Corps)', 'to': 'Bordeaux Saint-Jean (Bordeaux)', 'type': 'public_transport', 'distance_km': 306.311, 'co2_kg': 0.72289396, 'time_s': 7080}, {'from': 'Bordeaux Saint-Jean (Bordeaux)', 'to': 'Toulouse Matabiau (Toulouse)', 'type': 'public_transport', 'distance_km': 223.139, 'co2_kg': 0.5266080399999999, 'time_s': 8820}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Toulouse Matabiau (Toulouse)', 'to': 'Stadium de Toulouse', 'distance_km': 11.066, 'travel_time_seconds': 2046, 'emissions_kg_co2': 16.599}]}}"
Auxerre,Brest,47720,1377.87,1048.1245400000005,train,"{'train_route_details': [{'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Laroche - Migennes (Migennes)', 'type': 'public_transport', 'distance_km': 19.158, 'co2_kg': 0.2279802, 'time_s': 1260}, {'from': 'Laroche - Migennes (Migennes)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 133.233, 'co2_kg': 0.31442988000000005, 'time_s': 5100}, {'from': 'Paris - Gare de Lyon - Banlieue (Paris)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'car', 'distance_km': 5.689, 'co2_kg': 8.5335, 'time_s': 1155}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Brest (Brest)', 'type': 'public_transport', 'distance_km': 525.337, 'co2_kg': 1.23979532, 'time_s': 12420}], 'car_route_details': {'segments': [{'from': 'Stade Abbé Deschamps', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}, {'from': 'Brest (Brest)', 'to': 'Stade Francis-Le Blé', 'distance_km': 6.48, 'travel_time_seconds': 978, 'emissions_kg_co2': 9.72}]}}"
Auxerre,Le Havre,42268,690.12,1247.920048,train,"{'train_route_details': [{'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Laroche - Migennes (Migennes)', 'type': 'public_transport', 'distance_km': 19.158, 'co2_kg': 0.2279802, 'time_s': 1260}, {'from': 'Laroche - Migennes (Migennes)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 133.233, 'co2_kg': 0.31442988000000005, 'time_s': 5100}, {'from': 'Paris Gare de Lyon (Paris)', 'to': 'Auber (Paris)', 'type': 'car', 'distance_km': 6.406, 'co2_kg': 9.609, 'time_s': 1843}, {'from': 'Paris Saint-Lazare (Paris)', 'to': 'Le Havre (Le Havre)', 'type': 'public_transport', 'distance_km': 180.116, 'co2_kg': 2.1433804, 'time_s': 7500}], 'car_route_details': {'segments': [{'from': 'Stade Abbé Deschamps', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}, {'from': 'Le Havre (Le Havre)', 'to': 'Stade Océane', 'distance_km': 7.738, 'travel_time_seconds': 1110, 'emissions_kg_co2': 11.607000000000001}]}}"
Auxerre,Lens,38940,675.2000000000002,1024.6051599999998,train,"{'train_route_details': [{'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Laroche - Migennes (Migennes)', 'type': 'public_transport', 'distance_km': 19.158, 'co2_kg': 0.2279802, 'time_s': 1260}, {'from': 'Laroche - Migennes (Migennes)', 'to': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 133.233, 'co2_kg': 0.31442988000000005, 'time_s': 5100}, {'from': 'Paris - Gare de Lyon - Banlieue (Paris)', 'to': 'Gare du Nord (Paris)', 'type': 'car', 'distance_km': 6.119, 'co2_kg': 9.1785, 'time_s': 1630}, {'from': 'Paris Nord (Paris)', 'to': 'Lens (Lens)', 'type': 'public_transport', 'distance_km': 175.382, 'co2_kg': 0.41390152, 'time_s': 3840}], 'car_route_details': {'segments': [{'from': 'Stade Abbé Deschamps', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}, {'from': 'Lens (Lens)', 'to': 'Stade Bollaert-Delelis', 'distance_km': 2.86, 'travel_time_seconds': 488, 'emissions_kg_co2': 4.289999999999999}]}}"
