origin,destination,distance_km,duration_seconds
"50.4328789,2.8150836","48.1074881,-1.7128664",551.33,19073
"50.4328789,2.8150836","48.5600068,7.755130899999999",533.497,18530
"50.4328789,2.8150836","45.460517,4.389434",729.541,24617
"50.4328789,2.8150836","43.5832972,1.434048",894.014,31630
"50.611355,3.1326951","45.7652169,4.9820302",705.555,23423
"50.611355,3.1326951","43.269859,5.3959015",1008.265,33802
"50.611355,3.1326951","43.72758169999999,7.4156038",1178.844,39966
"50.611355,3.1326951","43.6221434,3.8120627",972.961,33347
"50.611355,3.1326951","47.2560233,-1.524675",610.746,21555
"50.611355,3.1326951","43.7051012,7.1926095",1153.393,38484
"50.611355,3.1326951","48.8414374,2.2530504",226.939,9056
"50.611355,3.1326951","49.24705489999999,4.0239334",203.431,7193
"50.611355,3.1326951","48.1074881,-1.7128664",570.118,19524
"50.611355,3.1326951","48.5600068,7.755130899999999",552.65,19027
"50.611355,3.1326951","45.460517,4.389434",748.694,25113
"50.611355,3.1326951","43.5832972,1.434048",912.803,32080
"45.7652169,4.9820302","43.269859,5.3959015",331.41,11866
"45.7652169,4.9820302","43.72758169999999,7.4156038",501.99,18030
"45.7652169,4.9820302","43.6221434,3.8120627",315.589,11554
"45.7652169,4.9820302","47.2560233,-1.524675",711.128,22957
"45.7652169,4.9820302","43.7051012,7.1926095",476.538,16547
"45.7652169,4.9820302","48.8414374,2.2530504",473.174,15855
"45.7652169,4.9820302","49.24705489999999,4.0239334",495.59,16337
"45.7652169,4.9820302","48.1074881,-1.7128664",752.782,25097
"45.7652169,4.9820302","48.5600068,7.755130899999999",482.997,17332
"45.7652169,4.9820302","45.460517,4.389434",71.824,3169
"45.7652169,4.9820302","43.5832972,1.434048",544.886,18327
"43.269859,5.3959015","43.72758169999999,7.4156038",232.206,9029
"43.269859,5.3959015","43.6221434,3.8120627",174.474,7440
"43.269859,5.3959015","47.2560233,-1.524675",995.683,32598
"43.269859,5.3959015","43.7051012,7.1926095",206.754,7547
"43.269859,5.3959015","48.8414374,2.2530504",796.072,26785
"43.269859,5.3959015","49.24705489999999,4.0239334",818.488,27267
"43.269859,5.3959015","48.1074881,-1.7128664",1037.336,34739
"43.269859,5.3959015","48.5600068,7.755130899999999",805.894,28262
"43.269859,5.3959015","45.460517,4.389434",337.692,11975
"43.269859,5.3959015","43.5832972,1.434048",403.772,14213
"43.72758169999999,7.4156038","43.6221434,3.8120627",354.879,14844
"43.72758169999999,7.4156038","47.2560233,-1.524675",1169.031,39218
"43.72758169999999,7.4156038","43.7051012,7.1926095",26.841,1637
"43.72758169999999,7.4156038","48.8414374,2.2530504",969.42,33405
"43.72758169999999,7.4156038","49.24705489999999,4.0239334",991.836,33887
"43.72758169999999,7.4156038","48.1074881,-1.7128664",1210.684,41358
"43.72758169999999,7.4156038","48.5600068,7.755130899999999",773.337,30694
"43.72758169999999,7.4156038","45.460517,4.389434",511.04,18594
"43.72758169999999,7.4156038","43.5832972,1.434048",584.176,21617
"43.6221434,3.8120627","47.2560233,-1.524675",831.847,26809
"43.6221434,3.8120627","43.7051012,7.1926095",329.095,12304
"43.6221434,3.8120627","48.8414374,2.2530504",738.497,24378
"43.6221434,3.8120627","49.24705489999999,4.0239334",809.048,27323
"43.6221434,3.8120627","48.1074881,-1.7128664",896.47,29617
"43.6221434,3.8120627","48.5600068,7.755130899999999",796.454,28317
"43.6221434,3.8120627","45.460517,4.389434",328.252,12030
"43.6221434,3.8120627","43.5832972,1.434048",241.514,8376
"47.2560233,-1.524675","43.7051012,7.1926095",1145.205,37446
"47.2560233,-1.524675","48.8414374,2.2530504",375.861,12552
"47.2560233,-1.524675","49.24705489999999,4.0239334",514.886,17297
"47.2560233,-1.524675","48.1074881,-1.7128664",107.276,3983
"47.2560233,-1.524675","48.5600068,7.755130899999999",863.97,29055
"47.2560233,-1.524675","45.460517,4.389434",658.43,20728
"47.2560233,-1.524675","43.5832972,1.434048",598.984,19226
"43.7051012,7.1926095","48.8414374,2.2530504",947.127,31995
"43.7051012,7.1926095","49.24705489999999,4.0239334",969.543,32477
"43.7051012,7.1926095","48.1074881,-1.7128664",1188.392,39948
"43.7051012,7.1926095","48.5600068,7.755130899999999",788.641,30715
"43.7051012,7.1926095","45.460517,4.389434",488.748,17184
"43.7051012,7.1926095","43.5832972,1.434048",561.884,20207
"48.8414374,2.2530504","49.24705489999999,4.0239334",149.776,5986
"48.8414374,2.2530504","48.1074881,-1.7128664",350.22,12237
"48.8414374,2.2530504","48.5600068,7.755130899999999",498.86,17744
"48.8414374,2.2530504","45.460517,4.389434",543.744,17750
"48.8414374,2.2530504","43.5832972,1.434048",678.732,23107
"49.24705489999999,4.0239334","48.1074881,-1.7128664",491.178,17245
"49.24705489999999,4.0239334","48.5600068,7.755130899999999",350.678,12518
"49.24705489999999,4.0239334","45.460517,4.389434",546.722,18605
"49.24705489999999,4.0239334","43.5832972,1.434048",819.69,28115
"48.1074881,-1.7128664","48.5600068,7.755130899999999",836.175,28340
"48.1074881,-1.7128664","45.460517,4.389434",698.413,22884
"48.1074881,-1.7128664","43.5832972,1.434048",705.594,23046
"48.5600068,7.755130899999999","45.460517,4.389434",553.045,19971
"48.5600068,7.755130899999999","43.5832972,1.434048",978.074,33861
"45.460517,4.389434","43.5832972,1.434048",540.075,17985
"50.426866,2.828301","47.464649,-0.55677",494.099,17911
"47.466953,-0.532437","47.464649,-0.55677",3.748,727
"48.723302,-3.981771","47.797645,3.58514",684.715,23509
"47.464649,-0.55677","47.7867476,3.5885458",407.413,13815
"47.4610005,-0.5307170999999999","48.723302,-3.981771",346.902,13762
"47.464649,-0.55677","48.4028861,-4.461456699999999",374.108,13453
"47.4610005,-0.5307170999999999","48.387693,-4.480094",377.805,13696
"47.4610005,-0.5307170999999999","47.464649,-0.55677",2.933,631
"47.7867476,3.5885458","48.723302,-3.981771",692.772,24093
"48.4028861,-4.461456699999999","48.387693,-4.480094",3.24,489
"47.7867476,3.5885458","47.797645,3.58514",2.278,376
"49.4993417,0.1692945","49.492624,0.124644",3.869,555
"50.4328789,2.8150836","50.426866,2.828301",1.43,244
"50.611355,3.1326951","50.6394,3.075721",10.334,848
"45.7652169,4.9820302","45.76059 6,4.859409",18.7,1655
"43.269859,5.3959015","43.302666,5.380407",4.186,916
"43.6221434,3.8120627","43.595146,3.924009",12.417,1523
"47.2560233,-1.524675","47.217491,-1.542077",5.689,853
"43.7051012,7.1926095","43.670728,7.216199",9.108,942
"48.8414374,2.2530504","48.841172,2.320514",7.398,1076
"49.24705489999999,4.0239334","49.233406,4.022648",3.244,512
"48.1074881,-1.7128664","48.103517,-1.672744",3.918,633
"48.5600068,7.755130899999999","48.584532,7.734793",4.381,871
"45.460517,4.389434","45.443366,4.399722",3.252,621
"43.5832972,1.434048","43.663842,1.41409",16.472,1079
"50.611355,3.1326951","50.636577,3.06987",10.181,839
"43.6221434,3.8120627","43.604738,3.880674",7.611,1070
"48.8414374,2.2530504","48.839215,2.382791",13.912,1468
"49.24705489999999,4.0239334","49.259014,4.024338",2.948,550
"43.5832972,1.434048","43.611206,1.453616",5.533,1023
"43.7051012,7.1926095","43.704556,7.261904",11.424,1133
"47.2560233,-1.524675","47.249196,-1.522475",0.868,134
"48.8414374,2.2530504","48.876242,2.325331",8.615,1177
"48.5600068,7.755130899999999","48.563644,7.752614",0.651,125
"50.611355,3.1326951","50.614297,3.034278",10.053,674
"50.4328789,2.8150836","50.437864,2.793543",2.717,372
"48.8414374,2.2530504","48.880136,2.354851",14.751,1952
"45.7652169,4.9820302","45.748508,4.825777",26.907,1640
"45.7652169,4.9820302","45.760596,4.859409",18.7,1655
"43.7051012,7.1926095","43.722692,7.291671",13.032,887
"45.460517,4.389434","45.417198,4.392683",11.476,835
"50.611355,3.1326951","50.620531,3.097777",5.098,723
"48.1074881,-1.7128664","48.092345,-1.630773",10.189,656
"45.460517,4.389434","45.464868,4.379554",2.12,302
"48.8414374,2.2530504","48.844945,2.373481",14.368,1230
"45.7652169,4.9820302","45.77976,4.804186",20.391,1268
"43.72758169999999,7.4156038","43.670728,7.216199",26.246,2037
"43.72758169999999,7.4156038","43.704556,7.261904",21.406,1889
"43.72758169999999,7.4156038","43.722692,7.291671",16.899,1363
"48.841172,2.320514","48.881393,2.357438",9.644,2302
"48.725152,2.259839","48.844888,2.37352",24.857,1878
"47.4610005,-0.5307170999999999","47.466953,-0.532437",2.019,268
"48.841172,2.320514","48.871956,2.330432",6.818,1586
"48.841172,2.320514","48.844888,2.37352",5.689,1155
"48.841172,2.320514","48.843811,2.374082",6.1,1371
"48.843811,2.374082","48.871956,2.330432",6.406,1843
"48.844888,2.37352","48.881393,2.357438",6.119,1630
"48.844888,2.37352","49.003965,2.570665",28.632,2036
